Gene	Pathway
MAPKAPK2	Efferocytosis
ALOX5	Efferocytosis
ALOX15	Efferocytosis
DUSP4	Efferocytosis
DUSP2	Efferocytosis
DUSP7	Efferocytosis
DUSP8	Efferocytosis
DUSP5	Efferocytosis
DUSP16	Efferocytosis
ANO6	Efferocytosis
ANO3	Efferocytosis
ANO4	Efferocytosis
ANO5	Efferocytosis
ANO7	Efferocytosis
ANO9	Efferocytosis
BSG	Efferocytosis
XKR8	Efferocytosis
XKR9	Efferocytosis
XKR7	Efferocytosis
XKR4	Efferocytosis
XKR6	Efferocytosis
ATP8A1	Efferocytosis
ATP8A2	Efferocytosis
ATP11B	Efferocytosis
ATP11A	Efferocytosis
ATP11C	Efferocytosis
TMEM30A	Efferocytosis
PROS1	Efferocytosis
ITGAV	Efferocytosis
ITGB3	Efferocytosis
ITGB5	Efferocytosis
AXL	Efferocytosis
TYRO3	Efferocytosis
ADGRB1	Efferocytosis
TIMD4	Efferocytosis
HAVCR1	Efferocytosis
HAVCR2	Efferocytosis
AGER	Efferocytosis
STAB1	Efferocytosis
STAB2	Efferocytosis
PTK2	Efferocytosis
BCAR1	Efferocytosis
CRK	Efferocytosis
CRKL	Efferocytosis
ELMO1	Efferocytosis
DOCK1	Efferocytosis
RAC1	Efferocytosis
ADAM9	Efferocytosis
CALR	Efferocytosis
C1QA	Efferocytosis
C1QB	Efferocytosis
C1QC	Efferocytosis
LRP1	Efferocytosis
MEGF10	Efferocytosis
MEGF11	Efferocytosis
SCARF1	Efferocytosis
GULP1	Efferocytosis
RAB17	Efferocytosis
RAB5A	Efferocytosis
RAB5B	Efferocytosis
RAB5C	Efferocytosis
TGFBRAP1	Efferocytosis
VPS8	Efferocytosis
VPS11	Efferocytosis
VPS16	Efferocytosis
VPS18	Efferocytosis
VPS33A	Efferocytosis
RAB14	Efferocytosis
VPS39	Efferocytosis
VPS41	Efferocytosis
RAB7A	Efferocytosis
RAB7B	Efferocytosis
SLC66A1	Efferocytosis
ARG2	Efferocytosis
ARG1	Efferocytosis
ODC1	Efferocytosis
CH25H	Efferocytosis
NR1H3	Efferocytosis
NR1H2	Efferocytosis
CPT1A	Efferocytosis
CPT1B	Efferocytosis
CPT1C	Efferocytosis
UQCRFS1	Efferocytosis
SIRT1	Efferocytosis
PBX1	Efferocytosis
IL10	Efferocytosis
LIPA	Efferocytosis
PLA2G15	Efferocytosis
PPARD	Efferocytosis
SLC2A1	Efferocytosis
SLC16A1	Efferocytosis
SGK1	Efferocytosis
CD47	Efferocytosis
CD24	Efferocytosis
PECAM1	Efferocytosis
SIGLEC10	Efferocytosis
SIRPA	Efferocytosis
SIRPG	Efferocytosis
SIRPB1	Efferocytosis
PTPN6	Efferocytosis
PTPN11	Efferocytosis
PARP1	Parthanatos
HPF1	Parthanatos
ARH3	Parthanatos
PARG	Parthanatos
MIF	Parthanatos
AIFM1	Parthanatos
BAX	Parthanatos
CALPAIN1	Parthanatos
CALPAIN2	Parthanatos
BID	Lysosome_CD
CASPASE2	Lysosome_CD
BAX	Lysosome_CD
CYCS	Lysosome_CD
APAF1	Lysosome_CD
CASPASE9	Lysosome_CD
CASPASE3	Lysosome_CD
AIF	Lysosome_CD
MCU	MPT-driven necrosis 
BCL2	MPT-driven necrosis 
BAK1	MPT-driven necrosis 
SLC8B1	MPT-driven necrosis 
PKCE	MPT-driven necrosis 
HK1	MPT-driven necrosis 
HK2	MPT-driven necrosis 
GSK3B	MPT-driven necrosis 
CKM1	MPT-driven necrosis 
VDAC1	MPT-driven necrosis 
ANT	MPT-driven necrosis 
CYPD	MPT-driven necrosis 
TP53	MPT-driven necrosis 
PIC	MPT-driven necrosis 
TSPO	MPT-driven necrosis 
IP3R	MPT-driven necrosis 
GRP75	MPT-driven necrosis 
BAX	MPT-driven necrosis 
RAPGEF3	MPT-driven necrosis 
APAF1	Mitotic_CD
